date,num_rides,holiday,Max_Temp,Min_Temp,Rain_in,Snow&Hail_in,obs_time_ Snow&Hail_in
2018/10/29,264216,FALSE,56,47,0.03,0,0
2018/10/30,281279,FALSE,55,42,0,0,0
2018/10/31,273591,FALSE,64,44,0,0,0
2019/07/01,193570,FALSE,85,65,0,0,0
2019/07/02,199033,FALSE,85,71,0.02,0,0
2019/07/03,180584,FALSE,87,75,0.001,0,0
2019/07/04,123988,TRUE,90,74,0,0,0
2019/07/05,142591,FALSE,86,72,0,0,0
2019/07/06,153204,FALSE,90,76,0.001,0,0
2019/07/07,153038,FALSE,86,72,0,0,0
2019/07/08,190059,FALSE,78,68,0.04,0,0
2019/07/09,216885,FALSE,87,69,0,0,0
2019/07/10,234399,FALSE,88,74,0,0,0
2019/07/11,239812,FALSE,87,73,0.79,0,0
2019/07/12,218212,FALSE,87,72,0,0,0
2019/07/13,212459,FALSE,85,70,0,0,0
2019/07/14,177636,FALSE,89,76,0,0,0
2019/07/15,200576,FALSE,85,68,0,0,0
2019/07/16,230367,FALSE,91,72,0,0,0
2019/07/17,248650,FALSE,93,73,1.82,0,0
2019/07/18,237392,FALSE,79,71,0.51,0,0
2019/07/19,240829,FALSE,91,71,0,0,0
2019/07/20,199029,FALSE,95,82,0,0,0
2019/07/21,179183,FALSE,95,80,0.001,0,0
2019/07/22,214325,FALSE,90,72,1.66,0,0
2019/07/23,223183,FALSE,74,67,0.53,0,0
2019/07/24,231126,FALSE,83,67,0.02,0,0
2019/07/25,237004,FALSE,84,70,0,0,0
2019/07/26,217086,FALSE,88,69,0,0,0
2019/07/27,194629,FALSE,85,72,0,0,0
2019/07/28,176180,FALSE,88,71,0.01,0,0
2019/07/29,198030,FALSE,90,73,0,0,0
2019/07/30,222568,FALSE,92,78,0.01,0,0
2019/07/31,224507,FALSE,87,70,0.36,0,0
2017/02/01,329727,FALSE,47,33,0,0,0.001
2017/02/02,353202,FALSE,45,32,0,0,0
2017/02/03,374750,FALSE,33,26,0,0,0
2017/02/04,366033,FALSE,34,22,0,0,0
2017/02/05,306876,FALSE,43,31,0,0,0
2017/02/06,290260,FALSE,49,36,0,0,0
2017/02/07,,FALSE,42,36,0.27,0,0
2017/02/08,331937,FALSE,62,38,0.03,0,0
2017/02/09,203196,FALSE,44,19,1.16,9.4,2
2017/02/10,352440,FALSE,32,19,0.001,0.001,7.9
2017/02/11,370910,FALSE,48,30,0,0,5.1
2017/02/12,326187,FALSE,40,30,0.46,0.001,2
2017/02/13,320163,FALSE,39,31,0.02,0,2
2017/02/14,343985,FALSE,41,28,0,0,2
2017/02/15,347254,FALSE,47,35,0.001,0,0.001
2017/02/16,368343,FALSE,35,28,0,0,0.001
2017/02/17,355340,FALSE,41,26,0,0,0.001
2017/02/18,326391,FALSE,63,35,0,0,0
2017/02/19,299316,FALSE,65,53,0,0,0
2017/02/20,262119,TRUE,55,39,0,0,0
2017/02/21,295500,FALSE,47,34,0,0,0
2017/02/22,314914,FALSE,57,42,0,0,0
2017/02/23,335093,FALSE,65,44,0,0,0
2017/02/24,350695,FALSE,70,58,0,0,0
2017/02/25,368410,FALSE,63,44,0.54,0,0
2017/02/26,320351,FALSE,44,36,0,0,0
2017/02/27,305744,FALSE,54,35,0,0,0
2017/02/28,324398,FALSE,59,47,0,0,0
2017/12/01,353754,FALSE,52,42,0,0,0
2017/12/02,349819,FALSE,48,39,0,0,0
2017/12/03,300504,FALSE,48,42,0,0,0
2017/12/04,300092,FALSE,51,40,0,0,0
2017/12/05,330567,FALSE,61,50,0.75,0,0
2017/12/06,346348,FALSE,59,40,0,0,0
2017/12/07,354196,FALSE,44,37,0,0,0
2017/12/08,362237,FALSE,39,34,0,0,0
2017/12/09,359572,FALSE,35,30,0.46,4.6,0
2017/12/10,302889,FALSE,39,29,0,0,3.9
2017/12/11,310541,FALSE,41,33,0,0,2
2017/12/12,329481,FALSE,50,29,0.001,0.001,0.001
2017/12/13,357298,FALSE,31,20,0,0.001,0
2017/12/14,351742,FALSE,32,22,0.09,1.2,1.2
2017/12/15,362595,FALSE,28,20,0.11,1.2,1.2
2017/12/16,364503,FALSE,39,23,0,0,2
2017/12/17,313238,FALSE,38,32,0,0,1.2
2017/12/18,302388,FALSE,47,34,0.02,0,0.001
2017/12/19,324617,FALSE,55,45,0,0,0
2017/12/20,344511,FALSE,51,34,0,0,0
2017/12/21,343586,FALSE,39,32,0,0,0
2017/12/22,312431,FALSE,50,35,0,0,0
2017/12/23,259518,FALSE,48,38,0.49,0,0
2017/12/24,208989,FALSE,41,36,0.01,0.001,0
2017/12/25,149472,TRUE,38,28,0.23,0.001,0
2017/12/26,220366,FALSE,28,23,0,0,0
2017/12/27,253306,FALSE,24,17,0,0,0
2017/12/28,275451,FALSE,18,11,0,0,0
2017/12/29,275186,FALSE,22,11,0,0,0
2017/12/30,244422,FALSE,23,17,0.05,0.7,0
2017/12/31,244571,FALSE,21,9,0,0,0.001
2018/11/01,313440,FALSE,70,57,0,0,0
2018/11/02,306962,FALSE,72,64,0.22,0,0
2018/11/03,298315,FALSE,65,48,0.37,0,0
2018/11/04,254699,FALSE,55,43,0,0,0
2018/11/05,271652,FALSE,53,48,0.3,0,0
2018/11/06,277681,FALSE,59,49,0.68,0,0
2018/11/07,290993,FALSE,62,51,0,0,0
2018/11/08,301001,FALSE,56,45,0,0,0
2018/11/09,298089,FALSE,52,40,0.77,0,0
2018/11/10,311628,FALSE,50,34,0.03,0,0
2018/11/11,258024,FALSE,46,33,0,0,0
2018/11/12,260729,TRUE,49,37,0.04,0,0
2018/11/13,287048,FALSE,50,43,1.06,0,0
2018/11/14,300254,FALSE,43,32,0,0,0
2018/11/15,232174,FALSE,40,28,1.16,6.4,0
2018/11/16,301051,FALSE,45,34,0.31,0.001,3.9
2018/11/17,305524,FALSE,47,37,0,0,2
2018/11/18,256546,FALSE,44,39,0,0,0
2018/11/19,256661,FALSE,50,41,0,0,0
2018/11/20,279438,FALSE,47,39,0.001,0,0
2018/11/21,260891,FALSE,44,27,0.001,0.001,0
2018/11/22,174782,TRUE,28,17,0,0,0
2018/11/23,196108,FALSE,32,15,0,0,0
2018/11/24,227598,FALSE,49,31,0.97,0,0
2018/11/25,206731,FALSE,55,45,0.81,0,0
2018/11/26,256032,FALSE,53,45,0.85,0,0
2018/11/27,280867,FALSE,45,37,0.03,0,0
2018/11/28,284004,FALSE,42,36,0,0,0
2018/11/29,299315,FALSE,46,38,0,0,0
2018/11/30,306788,FALSE,43,38,0.02,0,0
2018/01/01,237157,TRUE,19,7,0,0,0.001
2018/01/02,238181,FALSE,26,13,0,0,0
2018/01/03,267006,FALSE,30,16,0,0,0.001
2018/01/04,122223,FALSE,29,19,0.76,9.8,1.2
2018/01/05,265260,FALSE,19,9,0,0,7.1
2018/01/06,281285,FALSE,13,6,0,0,5.9
2018/01/07,237413,FALSE,18,5,0,0,5.9
2018/01/08,259823,FALSE,31,17,0.01,0.001,5.1
2018/01/09,284690,FALSE,44,30,0,0,5.1
2018/01/10,290385,FALSE,43,30,0,0,3.9
